Input Sample,b_memory,b_naive,dendritic_myeloid_immature,dendritic_myeloid_mature,endothelial,eosinophil,epithelial,fibroblast,macrophage_M1,macrophage_M2,mast_cell,monocyte,neutrophil,nk_primed_IL2,nk_primed_IL2_PDGFD,nk_resting,t_CD4_memory,t_CD8_memory,t_CD8_naive,t_gamma_delta,t_helper,P-value,Pearson Correlation,RMSE
TCGA-CS-4938,0,0.1809919979750405,0.26225455388729146,0,0.016926572891556992,0,0.09748844744180687,0.007504088024690693,0.02328731716706112,0.0032002387935681884,0,0,0.004030247435167826,0,0.025427129577585493,0,0.004980486194026668,0.07528843515823484,0.29862048545396924,0,0,0,0.5554279068582585,0.8334377540256275
TCGA-CS-4941,0.14827475629684966,0,0.2955556464990515,0,0.06331057686667045,0,0.18121676291715239,0.0005,0,0.00932542362994599,0,0.015738776570829338,0,0.0009,0,0,0.10317764592556909,0,0.18193649508775953,0,0,0.01,0.4276821936436061,0.9094465247385358
TCGA-CS-4942,0,0.21591965077882053,0.15972048353347282,0,0.006011542314917913,0,0.13657639037521305,0.012490464004692399,0.066807864939683,0,0.011636152160083475,0,0,0.00245534056628658,0,0,0.012604017770718061,0.15870657156834858,0.20478918260321996,0,0.012282339384543706,0,0.5506838667316264,0.8394126579483365
TCGA-CS-4943,0,0.19176698604776746,0.10110670617544092,0,0.03284047383172227,0,0.0907361703555617,0.004545602882441503,0.04772933338707798,0,0,0,0.024414425629343654,0,0.04407249691773915,0,0.09604273021651206,0.09475914993972137,0.27198592461667187,0,0,0.01,0.46570788978758637,0.9104851410373096
TCGA-CS-4944,0,0.1645762319009039,0.18602037911644104,0,0.02074863150870722,0,0.08433710531521987,0.010856190464269888,0.05015214993343486,0,0,0,0.0004,0,0.08996044190602223,0,0,0.14260964142166926,0.22927254094193078,0,0.021034119906334994,0,0.5759964860957513,0.8179599599053187
TCGA-CS-5390,0,0.2953221428066548,0.0751155127570951,0,0.022507178415714306,0,0.04165525068307197,0.00869977590393979,0.041880261726075396,0.004155607689641637,0,0,0.02570311296074898,0,0.03611698551863432,0,0.1014502117364864,0.11006131853345445,0.2373326412684828,0,0,0,0.5338013885914634,0.8717941714022478
TCGA-CS-5393,0,0.2462448300359965,0.2052208575463134,0,0.01376781762699606,0,0.0859336445788492,0,0.04592120795715976,0.0017851331571800291,0,0,0.06254780049791335,0.0004,0.02198215402481737,0,0,0.10164432845140729,0.21450329013258287,0,0,0.01,0.47323618064373063,0.8961655010005012
TCGA-CS-5394,0,0.20938639511513596,0.04768821942560564,0,0.017599455442966455,0,0.041521988365908695,0.012401322482212627,0.04098673955090298,0.0008,0,0,0.02293002320668136,0,0.06533834563382279,0,0.0828546496372622,0.16381419274060127,0.294716776929942,0,0,0.01,0.4292186267193052,0.9617238805740848
TCGA-CS-5395,0,0.10992478640654553,0.16882263459251862,0,0.03574491217438747,0,0.21561694543756196,0,0.04182860653101537,0,0.01735064855347569,0,0.01709443513254143,0.0006,0,0.011432715240559152,0.041414902888569714,0.08876688709781683,0.2513693714459756,0,0,0,0.4835419964134807,0.881510085999887
TCGA-CS-5396,0,0.25729978215558713,0.22858695663952458,0,0.033397018692993295,0,0.03784848945638633,0.020448086330201013,0.001089304489600794,0.008060080225849362,0,0,0,0.0017071669268300205,0,0,0.10591375842255818,0.022669656128558032,0.21228542884407656,0,0.07069427168783472,0.01,0.3877745692088564,0.96793766535493
TCGA-CS-5397,0,0.09234716328532114,0.23964777005125995,0,0.03979612483068113,0,0.18260043395868547,0,0.0347147027659582,0,0,0,0.01854808034513868,0,0.04331099194253635,0,0,0.12922103725072748,0.21981369556969155,0,0,0,0.5587758560822919,0.8272557044082933
TCGA-CS-6186,0.0030638509576392404,0.057549385125174636,0.15289891867427566,0,0.01477618413890621,0,0.3211849632321869,0.01238350025650313,0.03701813027914016,0,0.018184063440503762,0,0.03076790057690764,0.0012196886179047033,0,0.019735327527365513,0,0.06347508232359782,0.26774300484989466,0,0,0,0.5982474237102514,0.7991377957957485
TCGA-CS-6188,0.048548294765697504,0.030096915975159535,0.32271559165731567,0,0.13251349383119101,0,0.15758897337106204,0.011230028431046188,0,0.004869873270314461,0,0.05078922031574528,0,0,0,0.025092661083096005,0.06601453579397533,0.004586444765063539,0.13164027735878397,0,0.014313689381549545,0,0.6646219359258243,0.7593795838933876
TCGA-CS-6290,0,0.13401911075195688,0.1450344113014233,0,0.02768834240079551,0,0.1110855209643164,0,0.0823592350999612,0,0.004860455993656716,0,0.08232128426952608,0,0.01955659400057633,0,0,0.1315114982637594,0.26156354695402817,0,0,0,0.5647445943629953,0.8253221016377704
TCGA-CS-6666,0,0.09373784965695435,0.10309971621645392,0,0.05658523842486318,0,0.13715747300679398,0.025630162754583352,0.04654551397918652,0,0,0,0.06747078377843062,0,0.04438959090528696,0.0019452523625294888,0,0.12109881487135875,0.3023396040435588,0,0,0,0.5514834672991239,0.8355633313480085
TCGA-CS-6667,0,0.15858834626758284,0.18988652512126927,0,0.07188291709945006,0.009173405768373683,0.07040146809906057,0.04252249729578939,0.004286394250693579,0.0034791215017866187,0,0,0,0,0,0.054212889649272254,0,0.10946733572131553,0.25259240101884795,0,0.03350669820655824,0,0.7204164084710952,0.6938958595843363
TCGA-CS-6668,0,0.18928075712443235,0.04068270881453709,0,0.023665998388618836,0,0.047332638870518556,0.0188831618990584,0.04300293544628196,0,0,0,0.07161210311049526,0,0.09468351243641694,0,0.023518050997719378,0.19566211757934143,0.2516760153325797,0,0,0.01,0.44118364774844204,0.940181989500775
TCGA-CS-6669,0.040659462291393056,0.15398315808666105,0.2620470591760497,0,0.08739376960030759,0,0.1946213056252987,0.0034496499926598974,0.018076814433966262,0.008568198242576548,0,0,0.01864654138166819,0,0.08363072968152813,0,0,0.046967523678616986,0.08195578780927391,0,0,0.01,0.4380932951671016,0.9010074495097565
TCGA-CS-6670,0,0.1657333395964288,0.08681565597426803,0,0.02257863227149707,0,0.06794284588705433,0.022789507374128805,0.013916301569297502,0.0005,0,0,0.005399423507553891,0,0.09408774510270056,0,0,0.18715540140767967,0.30124010014004116,0,0.031853738679680284,0,0.5094509302379612,0.8892445720025817
TCGA-DB-5270,0,0.23625467250820928,0.22686833563300843,0,0.04526833246856507,0,0.14465745882578307,0.0001,0.0020869961326633072,0.003669671415526097,0,0,0,0,0.09837846186741868,0,0.011706718433079518,0.06163849452871215,0.14970694586581745,0,0.019666229939847235,0,0.5223563324389741,0.854601500243973
TCGA-DB-5273,0,0.09913553716507544,0.1903786367820264,0,0.03126315627712637,0,0.07795646039706886,0.02129406075658713,0.03036327124729443,0,0,0,0,0,0,0,0.07746305493809798,0.12914840214087495,0.3429974202958484,0,0,0,0.5344391910176064,0.854046532526317
TCGA-DB-5274,0,0.2023265241031042,0.012419414313349754,0,0.04754291954225806,0,0.007384411578046848,0.15700667553611644,0.03319721905966705,0,0,0,0,0,0.07606102225425349,0,0,0.14869032372741076,0.2204044276446219,0,0.09496706224117156,0,0.720091345368532,0.691814733768638
TCGA-DB-5275,0,0.07429387566575085,0.11182152432574416,0,0.02046187480492804,0.0012099712106692223,0.16838126818959942,0.003156818338998021,0.016783779845292543,0,0,0,0,0,0.12154457517263416,0,0.03430605197422357,0.16811870638917462,0.27992155408298536,0,0,0,0.5627716727451423,0.8300164682381854
TCGA-DB-5277,0,0.1333242445232445,0.1433964774774725,0,0.02268665481852304,0,0.12130585872307603,0.018498756372017935,0.041442089792008294,0,0,0,0.04797071569173954,0.0010804647783813624,0.008040977745936744,0,0.011972593313651221,0.12574982373881566,0.32453134302513303,0,0,0,0.5712181745080034,0.8239175292117764
TCGA-DB-5278,0,0.07196868505919776,0.097083878426614,0,0.03859207452167546,0,0.061529983072251104,0.007584088093854128,0.04819204266004035,0,0,0,0.06239849340757122,0,0.07911114056934228,0,0,0.18814612159520386,0.3453934925942499,0,0,0.01,0.39638741889729523,0.9616994546580185
TCGA-DB-5279,0,0.28104926580489314,0.2892870652269187,0,0.013996152287678525,0,0.11286041503454873,0.002141645420298208,0,0.022919375230240544,0,0,0,0,0.026971012073131885,0,0.017955948954112202,0,0.232819119968178,0,0,0,0.6187762497761071,0.7835980748726099
TCGA-DB-5280,0,0.10344669381753675,0.15339116685890447,0,0.009103215282399458,0,0.20212452839200287,0.01120177690660938,0.04554062434234266,0,0,0,0.04772287753263494,0,0.06544550957520796,0,0,0.1144871871255583,0.24753642016680313,0,0,0,0.5696935413422257,0.8202021322890825
